firma,street,plz,city,country,country_code,local_number,long_number_flag
Therapie Pension Ruth Terhaar,Signauerstr. 1,79865,Grafenhausen,DE,49.0,1606668309,Yes
Josef´s Tierpension,Oderstraße 1,14974,Ludwigsfelde,DE,49.0,1776182945,Yes
Silke´s Dog Service,Bahnhofstr. 9,86497,Horgau,DE,49.0,1522942389,No
Affen-Zoo Jocksdorf e.V.,OT Jocksdorf Nr. 8,3159,Neiße - Malxetal,DE,49.0,1734317609,Yes
Gnadenhof Chiemgau e.V.,Moosstr. 8,83365,Sondermoning,DE,49.0,1730936745,No
Höchstädter Klauenpflege GmbH,Ensbachstraße 17,89420,Höchstädt,DE,49.0,1527271931,No
"Heye, Wiebke Osteotherapie für Pferde",Nelkenstr. 6,28857,Syke,DE,49.0,1728767224,No
Brandl Vogelfreiesdach,Bauernholz 4,94336,Hunderdorf,DE,49.0,6084250170,No
Rheintechnik Weiland & Kasper GmbH & Co. KG,Insterburger Straße 8,56564,Neuwied,DE,49.0,184917566480019025,Yes
Forellenzucht Remsquelle,Gerwiesen,73457,Essingen,DE,49.0,1744107732,No
ALBE-Fischfarm GmbH & Co. KG,Alter Ortskern 33,49733,Haren-Rütenbrock,DE,49.0,1788910709,Yes
Lohmann Breeders GmbH,Am Seedeich 9-11,27472,Cuxhaven,DE,49.0,1600344663,No
"Forellenhof Lenz GbR, Inh. Claudia und Dietmar Wamser",Sauersgrund 2,64760,Oberzent,DE,49.0,4,No
Trakehner Zucht Hanke,Düth 18,31789,Hameln,DE,49.0,1787894359,No
Labradorzucht vom Egelsee Inh. Markus Kockskämper,Egelseestraße 28/2,88348,Bad Saulgau-Hochberg,DE,49.0,1767409747,No
Fohlenhof Gebhard,Bauren 1,88214,Ravensburg,DE,49.0,1521705091,Yes
Frenk Transportdienste Inh. Christof Frenk,Horstmarer Landweg,48149,Münster,DE,49.0,1528360928,No
Große Holz GmbH & Co. KG,Brock 18,48308,Senden - Bösensell,DE,49.0,1782174709,Yes
Onlinecenter & Mobilitätshilfen Hannover UG,Hildesheimer Straße 408,30519,Hannover,DE,49.0,1767613194,No
"Horse-Service.com e.K., Inh. Andrea Hillbrecht",Rogglfing 2,84405,Dorfen,DE,49.0,1752928430,Yes
Spedition Konrad Pfaffenberger GmbH & Co. KG,Lehengraben 7,95463,Bindlach,DE,49.0,1706677287,Yes
AGn-Transportgeräte GmbH,Junkersring 19,53844,Troisdorf,DE,49.0,1738206272,No
"LASTENTAXI MÜNCHEN, Inhaber: Gints Berzins",Schliemannweg 7,80937,München,DE,49.0,1721976901,No
FineLogistics,Sieglindestrasse 88,95445,Bayreuth,DE,49.0,1725212892,Yes
"Stübner Umzugsservice, Inhaber: Michael Stübner",Theodor-Friedrich-Weg 9,1279,Dresden,DE,49.0,1525908609,No
Holstenhallen Neumünster GmbH,Justus-von-Liebig-Straße 2-4,24537,Neumünster,DE,49.0,1522381645,Yes
"Akustik Art, Inh. Christian Reuchlein",Konrad-Zuse-Ring 8,24220,Flintbek,DE,49.0,1791025974,No
Walker Pyrotechnik,Nürtingerstr. 69,72667,Schlaitdorf,DE,49.0,4001691796810537,Yes
"FFB Stunt/SFX Fred Feuerstein Braeutigam, Inhaber: Fred Braeutigam",Dahlienstrasse 29b,23795,Bad Segeberg,DE,49.0,1743412284,No
Heines Messebau GmbH,Kleinkollenburgstraße 66 - 68,47877,Willich,DE,49.0,1729177165,Yes
"Frede Events, Inhaber: Frank Frede",Taubenstraße 29,48282,Emsdetten,DE,49.0,1782288871,Yes
Quadro Messebau & Design GmbH,Benzstr. 14,65779,Kelkheim,DE,49.0,1755471777,Yes
"Hoffmann Multimedia und Sound, Inhaberin: Christine Hoffmann",Franz-Lehár-Strasse 7,76684,Östringen,DE,49.0,1734812178,Yes
Feuersteins Karussellbetriebe,Johann Sittig Str. 14,65931,Frankfurt am Main,DE,49.0,173001546940018138,Yes
Bohlen & Tammling GmbH & Co KG,Heisfelder Str. 161,26789,Leer,DE,49.0,1602104553,Yes
Schneeweiß Wäscherei- und Reinigungsgesellschaft mbH,Steinenbrückstr. 26,51643,Gummersbach,DE,49.0,1770769500021,Yes
Hammonia Wäscherei und Wäscheverleih Hartwig GmbH,Kulemannstieg 38,22457,Hamburg,DE,49.0,1742648221,Yes
Rote Harfe Kreuzberg GmbH,Oranienstraße 13,10999,Berlin,DE,49.0,1779130837,No
Hansa-Treff,Hansaplatz 6,20099,Hamburg,DE,49.0,1742639946,No
"Cafe Maarblick, Inh. Bernd Lenerz",Maarstraße 16,54552,Schalkenmehren,DE,49.0,1038115178,No
Erste Liebe,Kaiser-Joseph-Str. 264,79098,Freiburg,DE,49.0,17654680014001941,Yes
